"content_type","title","slug","parent_category","url_path","summary","metadata","body_markdown"
"article","Cryptocurrency & Custody Security","cryptocurrency-and-custody-security","Data Security","/security-center/data-security/cryptocurrency-and-custody-security","Encryption, integration security, data minimization, and custody-specific safeguards for sensitive payroll and digital asset workflows.","Classification: External / Client-Facing | Contact: security@toku.com","## Non-Custody Model

Toku operates on a strict non-custody model. This is an architectural decision, not a policy choice. Toku never takes custody or control of client funds. Clients select their custody provider and keep full control of private keys and transaction approval.

Toku's role is to calculate payroll settlement amounts, propose transactions to the custody platform, and confirm settlement after client-approved execution. Toku does not hold funds, private keys, or signing authority at any point.

## Transaction Flow

Digital asset payment workflows follow a strict approval chain:

1. Preparation: Toku prepares payment instructions based on authorized payroll data.

1. Proposal: Toku submits the transaction instruction to the client's custody provider via authenticated API, including recipient wallet address, amount, and internal reference ID.

1. Client Approval: The client reviews and approves the transaction through their custody provider's interface, typically using multi-signature or policy-engine approval.

1. Execution: The custody provider executes the approved transaction on the blockchain.

1. Confirmation: Toku confirms settlement and updates payment records with the transaction hash and timestamp.

Toku cannot unilaterally execute any transaction. Client approval is enforced at the custody platform level, outside of Toku's infrastructure.

## Asset and Network Controls

Asset and network configuration is governed through client-controlled custody settings, scoped API credentials, and approval workflows. Toku records the asset, network, amount, transaction hash, timestamp, and status needed for reconciliation and auditability.

## Custody Provider Security Review

Custody providers are reviewed for security posture, access-control capabilities, API credential handling, approval workflows, and relevant compliance evidence before use in customer workflows.

Each integration uses scoped API credentials that can propose transactions but cannot sign or execute them.

## Wallet Security

Employee wallet addresses are collected through the Toku platform and stored encrypted (AES-256 at rest). Wallet addresses are used exclusively for routing approved payments. Toku does not have access to employee private keys or the ability to move funds from employee wallets.

## Blockchain Transaction Integrity

All completed transactions are recorded with the on-chain transaction hash, providing an immutable, independently verifiable record of every payment. Clients and employees can verify any transaction directly on the relevant blockchain explorer.

## Separation of Duties

The non-custody model creates a natural separation of duties. Toku handles calculation and proposal. The client handles approval and execution through their custody provider. No single party can unilaterally move funds. This is enforced at the infrastructure level, not by policy alone."
"category","Access & Identity","access-identity","","/security-center/access-identity","Authentication, SSO, MFA, RBAC, personnel security, vendor review, and least-privilege controls.","","Authentication & Access Control

Toku enforces centralized authentication, MFA, SCIM-based lifecycle controls where configured, and role-based access control. Internal access follows least privilege and is continuously monitored for compliance.

Vendor & Personnel Security

Employees complete background checks before receiving access to production systems. Customer data handling is limited to vetted Toku personnel, and device, identity, endpoint, and compliance controls are enforced before production access is granted."
"article","Authentication & Access Control","authentication-and-access-control","Access & Identity","/security-center/access-identity/authentication-and-access-control","Authentication, SSO, MFA, RBAC, personnel security, vendor review, and least-privilege controls.","Classification: External / Client-Facing | Contact: security@toku.com","## Single Sign-On (SSO)

Toku uses SAML 2.0 SSO to centralize client-facing authentication and reduce password-based risk. Identity provider configuration is governed through controlled setup and metadata exchange.

Toku's client-facing authentication is managed through an identity platform that handles the SSO lifecycle, including SAML assertion processing, session creation, and identity provider metadata management.

Internally, Toku uses centralized SSO for administrative access to its own systems, ensuring consistent authentication policies across internal tooling.

## Multi-Factor Authentication (MFA)

MFA is enforced using TOTP-based verification (time-based one-time passwords). MFA checks run before session-level authorization, meaning a valid second factor is required before access is granted.

MFA is enforced for all Toku employees. Client users are strongly encouraged to enable MFA. MFA enrollment events are logged with timestamps and source IP addresses.

## Automated User Provisioning (SCIM)

Where SCIM 2.0 is configured, user lifecycle events are automated to reduce stale access. Provisioning and deprovisioning events are tied to identity-provider updates and retained in audit logs.

## Role-Based Access Control (RBAC)

Role-based access control is enforced at every level:

- Client administrators can only view and manage data for their own organization. Cross-tenant access is prevented by logical database isolation.

- Toku internal staff follow least-privilege access. Access is granted only to the systems and data required for a specific role.

- All internal access to production data is logged.

Access requests go through a centralized identity management platform with manager and system owner approval required. Provisioning is automated on approval with a full audit trail.

## Access Reviews

Toku conducts systematic access reviews to ensure access remains appropriate:

- Quarterly reviews for critical systems and privileged accounts.

- Annual reviews for standard user access across all systems.

- Ad-hoc reviews triggered by role changes or security events.

Each review covers account status, permission levels, privileged access, service accounts, and third-party vendor access.

Employee compliance status is continuously monitored, including endpoint security requirements, hard drive encryption, and screen lock policies, providing automated verification that access controls are maintained.

## Session Management

Session tokens are invalidated immediately upon password reset. Password reset tokens expire within 24 hours and are single-use. Old password reset tokens are automatically invalidated when a new token is generated. Rate limiting is enforced on all authentication endpoints, including password reset and MFA verification.

## Post-Employment Access

Toku uses a deliberate post-employment access model built for payroll systems:

- Administrative and active system access is revoked immediately on separation.

- Historical read access to pay stubs, tax documents, and payment history is retained until the user requests deletion. Employees have a right to their historical compensation data.

- Personal wallet access is retained since employees may hold personal cryptocurrency funds.

This model removes active access immediately while preserving employee rights to their own records.

## Authentication Event Logging

All authentication events are logged with full detail: successful and failed login attempts, password changes, MFA enrollment and verification events, account lockouts, session creation and termination, and source IP addresses with geolocation.

Authentication logs are retained for a minimum of 90 days in active storage and 1 year in archives."
"article","Vendor & Personnel Security","vendor-and-personnel-security","Access & Identity","/security-center/access-identity/vendor-and-personnel-security","Authentication, SSO, MFA, RBAC, personnel security, vendor review, and least-privilege controls.","Classification: External / Client-Facing | Contact: security@toku.com","## No Subcontractors Policy

Toku uses only Toku-employed team members for customer service delivery and operations. Toku does not use subcontractors, offshore development teams, or third-party providers for platform development or customer data handling.

Every person who handles customer data is a vetted, background-checked Toku employee subject to Toku's security policies, training requirements, and access controls.

## Background Checks

Toku runs background checks on all employees before granting access to customer data or production systems. Checks include:

- Criminal history verification

- Employment history verification

- Education credential verification

- SSN validation

- Credit history (for financial roles)

Proof of completed background checks is available under NDA.

## Employee Security Requirements

Every Toku employee is required to meet the following security requirements:

- Endpoint detection and response installed and active on their work device.

- Zero-trust VPN installed and active for production infrastructure access.

- Device management and patch compliance enrollment for company-managed devices.

- Centralized SSO for authentication across internal systems.

- MFA enforced on all Toku accounts and critical systems (1Password for shared credentials).

- Compliance verification for hard drive encryption, screen lock, and endpoint protection status.

- Annual compliance recertification.

Compliance with these requirements is continuously monitored. Non-compliance is treated as a performance issue.

## Principle of Least Privilege

All internal access follows the principle of least privilege. Employees are granted access only to the systems and data required for their specific role. Access requests go through a centralized identity management platform with manager and system owner approval. Access is automatically provisioned upon approval and revoked upon role change or separation.

## Internal Access Logging

All Toku employee access to production data is logged. Authentication events, data access events, administrative actions, and configuration changes are captured with timestamps, source IPs, and user identifiers. Logs are retained for compliance and audit purposes.

## Separation on Termination

When an employee leaves Toku, all administrative and system access is revoked immediately. Revocation is automated through the identity management platform and verified during offboarding.

## Third-Party Vendor Assessment

Toku evaluates the security posture of third-party vendors and service providers that access customer data or integrate with Toku's platform. Assessments cover security certifications, data handling practices, and compliance posture.

Critical third-party vendors are reviewed for independent security certifications and relevant compliance evidence before use.

Vendor reviews cover the vendor role, security certifications, data handling practices, access scope, subprocessors, and evidence of control operation. Reviews are updated when vendor risk changes or when new access to customer data is introduced."
"category","Resilience & Compliance","resilience-compliance","","/security-center/resilience-compliance","Incident response, business continuity, disaster recovery, SOC 2, privacy, and audit evidence.","","Incident Response & Management

Toku maintains a formal Incident Management Response Plan with severity levels SEV-1 through SEV-4, assigned roles (Incident Commander, Technical Lead, Communications Lead, Legal Advisor), defined communication protocols, and blameless postmortems. Quarterly tabletop exercises cover scenarios including payment rail failures, API outages, and security events.

Business Continuity & Disaster Recovery

Business Continuity and Disaster Recovery Plans are tested annually. Backups are encrypted with AES-256 using separate key management. Recovery procedures are validated through tabletop exercises, structured walkthroughs, and simulation tests.

Compliance & Certifications

Toku has completed a SOC 2 Type II audit, with the renewed report expected in May 2026. Continuous compliance automation supports evidence collection. GDPR compliance is maintained with Data Processing Addendums for EU/UK employees. CCPA/CPRA compliance is maintained for California residents. Quarterly penetration testing is conducted by third-party firms with reports available upon request under NDA."
"article","Incident Response & Management","incident-response-and-management","Resilience & Compliance","/security-center/resilience-compliance/incident-response-and-management","Incident response, business continuity, disaster recovery, SOC 2, privacy, and audit evidence.","Classification: External / Client-Facing | Contact: security@toku.com","## Incident Response Framework

Toku maintains an Incident Management Response Plan covering the full lifecycle of security and operational incidents: detection, triage, response, resolution, and postmortem. The plan is built for the specific risks of SaaS payroll and cryptocurrency settlement.

## Severity Classification

| Level | Description | Response Expectations |
| --- | --- | --- |
| SEV-1 Critical | Broad business impact or regulatory consequence (e.g., global payroll deadline missed, large-scale data breach, payment transfer failures for multiple customers on payday) | All-hands response, Incident Commander and executives engaged within 15 minutes, external communications within 30 minutes, hourly updates until resolved |
| SEV-2 High | Significant functionality impact, multiple customers affected (e.g., payroll API outage in a region) | Response within 15 minutes, customer communication within 1 hour, resolution within same business day where feasible |
| SEV-3 Moderate | Limited impact or clear workaround (e.g., payroll delay for a single customer) | Response within 1 hour, resolution within 1 business day |
| SEV-4 Low | Minimal impact, does not affect payroll execution (e.g., slow report loading) | Tracked and resolved through normal sprint cycle |

## Incident Lifecycle

### Detection

Incidents are detected through multiple channels: automated application and infrastructure monitoring, anomaly detection, transaction monitoring, payroll data validation jobs, on-call alerting, human reports from employees or customers, and partner escalation from integration partners.

### Triage and Classification

The Incident Commander declares the incident, assigns severity, creates an incident ticket with timestamp, description, and severity, opens a dedicated Slack war room channel, and assigns all roles.

### Response and Mitigation

Immediate containment may include pausing affected workflows, disabling failing integrations, revoking compromised credentials, restoring queues, deploying fixes, and validating recovery before service is resumed.

### Communication

Internal updates flow through the Slack war room with 15-minute stand-ups for SEV-1 incidents. External communications include direct email notifications to affected customers and regulatory notifications within statutory windows (e.g., GDPR 72-hour requirement).

### Resolution and Postmortem

Technical validation that systems are restored, reconciliation of payroll data and financial transactions, customer communication confirming closure, and a blameless postmortem within 5 business days. Root cause analysis and corrective actions are documented and tracked.

## Roles and Responsibilities

| Role | Responsibility |
| --- | --- |
| Incident Commander (IC) | Owns the incident from declaration through closure. Manages severity, tasking, and decision log. |
| Technical Lead | Diagnoses root cause, leads remediation, owns rollback/hotfix decisions. |
| Communications Lead | Prepares internal updates, status page posts, and customer emails. Works with Legal before external release. |
| Legal and Compliance Advisor | Assesses regulatory reporting obligations (GDPR, SEC, FinCEN). Provides go/no-go on communications. |
| Customer Success Liaison | Coordinates direct customer outreach and ensures front-line staff are briefed. |
| Payroll Operations Lead | Executes payroll reruns, ensures corrections, validates employee payments. |
| Executive Sponsor | Provides authority, unblocks resources. Typically CEO or CTO. |

## Tabletop Exercises

Toku runs quarterly tabletop exercises facilitated by the Security/Compliance team. Scenarios include payment rail disruption, integration outages, security events involving employee data, and payroll calculation incidents.

Exercises include live role assignment, timed injects (media requests, partner outages, customer social media posts), decision-point drills, and conclude with a hotwash and improvement log.

Evaluation metrics: Mean Time to Detection (MTTD), Mean Time to Mitigation (MTTM), communications accuracy, and stakeholder confidence.

## Incident Notification to Clients

Toku notifies affected clients within 48 hours of confirming a security event involving customer data or impacting operations. Initial notification may be preliminary pending full investigation, with regular updates throughout."
"article","Business Continuity & Disaster Recovery","business-continuity-and-disaster-recovery","Resilience & Compliance","/security-center/resilience-compliance/business-continuity-and-disaster-recovery","Incident response, business continuity, disaster recovery, SOC 2, privacy, and audit evidence.","Classification: External / Client-Facing | Contact: security@toku.com","## Business Continuity Plan (BCP)

Toku maintains a Business Continuity Plan covering payroll processing and payment settlement continuity during disruptions. The BCP addresses natural disasters, infrastructure outages, pandemic scenarios, key personnel loss, and third-party provider failures.

The BCP identifies critical business functions, defines recovery priorities, and assigns ownership for continuity actions.

## Disaster Recovery Plan (DRP)

Toku's Disaster Recovery Plan is focused on the technical recovery of systems, data, and infrastructure following a disruptive event. The DRP is tested annually at minimum, using validation exercises including tabletop exercises, structured walkthroughs, and simulation tests.

The DRP covers recovery procedures for all production systems, databases, and integration infrastructure. Recovery time and recovery point objectives are defined and regularly validated through testing.

## Annual Testing

The Disaster Recovery Plan is tested at a minimum annually by the Security Officer in coordination with the Engineering Team. Testing types include:

- Tabletop exercises with cross-functional stakeholders

- Structured walkthroughs of recovery procedures

- Simulation tests of specific failure scenarios

Findings from each test are documented, and remediation plans are created and tracked to completion. Test results are retained for SOC 2 and regulatory audit purposes.

## BCP/DRP/IRP Drill Program

Toku conducts combined Business Continuity, Disaster Recovery, and Incident Response drills that simulate realistic scenarios. These drills test the organization's ability to detect, respond to, and recover from incidents while maintaining business operations.

Drill documentation includes all actions performed, resources utilized, and system changes made. This documentation is retained for post-incident analysis and compliance auditing.

## Data Backup and Recovery

All production data is backed up with AES-256 encryption using separate key management from production systems. Backup integrity is verified through automated checks. Recovery procedures are documented and tested as part of the annual DRP testing program.

## Third-Party Dependency Resilience

Toku plans for disruptions involving third-party dependencies through monitoring, incident response, and documented recovery procedures:

- HRIS/Payroll platform outages are detected through integration monitoring and do not block access to previously synced data.

- Custody provider outages are handled through the incident response process, with client communication, compensating controls, and documented recovery steps.

- Cloud infrastructure uses built-in redundancy within US data center regions.

## Documentation Availability

The following documents are available to clients upon request under NDA:

- Business Continuity Plan (summary)

- Disaster Recovery Plan (summary)

- Incident Response Plan (summary)

- Most recent DRP test results and remediation plan

Contact security@toku.com to request access."
"article","Compliance & Certifications","compliance-and-certifications","Resilience & Compliance","/security-center/resilience-compliance/compliance-and-certifications","Incident response, business continuity, disaster recovery, SOC 2, privacy, and audit evidence.","Classification: External / Client-Facing | Contact: security@toku.com","## SOC 2 Type II

Toku has completed a SOC 2 Type II audit. The SOC 2 Type II report evaluates the operating effectiveness of Toku's controls over an extended audit period, covering trust service criteria including security, availability, and confidentiality.

Toku is currently in the process of renewing its SOC 2 Type II report. The updated report is expected to be available in May 2026. Contact security@toku.com to be notified when the renewed report is ready.

Toku's infrastructure provider maintains SOC 2 Type II and SOC 3 Type II certifications independently.

## Compliance Automation

Toku uses a compliance automation platform for continuous monitoring of security controls, automated evidence collection for SOC 2, and employee compliance tracking. The platform verifies that controls are operating effectively in real time, including hard drive encryption, screen lock enforcement, endpoint protection status, and security training completion. All employees complete annual compliance recertification.

## GDPR Compliance

Toku complies with the General Data Protection Regulation (GDPR) for employees in EU and UK jurisdictions.

Data Processing Addendum (DPA): Available for all clients with EU/UK employees.

Data Minimization: Toku collects only the data required for payroll processing and employment administration.

Right to Erasure: Supported. Deletion requests are confirmed in writing and processed per Toku's data retention policy.

Data Breach Notification: Toku notifies supervisory authorities and affected data subjects within the GDPR-required 72-hour window when a qualifying breach occurs.

GDPR Compliance Framework: Toku maintains a documented GDPR compliance framework governing data processing activities across all jurisdictions.

## CCPA/CPRA Compliance

Toku complies with the California Consumer Privacy Act (CCPA) and its amendment, the California Privacy Rights Act (CPRA), for California-resident employees.

Service Provider Agreement: Toku operates as a service provider under CCPA/CPRA and does not sell personal information.

Deletion Rights: Toku processes consumer deletion requests in accordance with CCPA/CPRA requirements.

## SOX Control Alignment

For publicly traded clients subject to the Sarbanes-Oxley Act (SOX), Toku maintains audit trail integrity and enforces separation of duties in payment workflows. The non-custody model ensures that no single party can unilaterally move funds, supporting SOX internal control requirements.

## Regulatory Compliance by Jurisdiction

Toku applies the data protection requirements of each employee's jurisdiction. Where local requirements are stricter than Toku's standard policies, local requirements take precedence. Toku tracks relevant employment, payroll, data privacy, and digital asset regulations for the jurisdictions where it processes data.

## Security and Privacy Policies

Toku maintains security and privacy policies that are reviewed and updated on a regular schedule:

- Data Protection Policy

- Incident Response Plan

- Business Continuity Plan

- Disaster Recovery Plan

- Acceptable Use Policy

- Access Control Policy

- Change Management Policy

Policy documents are available to clients upon request under NDA.

## Penetration Testing

Toku conducts penetration testing on a quarterly basis through third-party security firms. Quarterly penetration testing ensures continuous validation of Toku's security posture and rapid identification of potential vulnerabilities. All findings are tracked to resolution with clear ownership and timelines. Penetration testing reports are available to clients upon request under NDA.

## Documentation Available Under NDA

The following compliance and security documentation is available to clients and prospective clients upon request:

| Document | Availability |
| --- | --- |
| SOC 2 Type II Report | Under NDA |
| Security and Privacy Framework | Available |
| Security and Privacy Policies | Available |
| Penetration Testing Reports | Under NDA |
| Data Processing Agreement (DPA) | Available |
| GDPR Data Processing Agreements | Available |
| Incident Response Plan (Summary) | Under NDA |
| Business Continuity and Disaster Recovery Plan | Under NDA |

Contact security@toku.com to request any of the above."
"category","Security Investments","security-investments","","/security-center/security-investments","Recent and planned investments in endpoint security, access hardening, assessments, audit logging, and control automation.","","2026 Security Hardening Program

In 2026, Toku strengthened endpoint protection, zero-trust network access, custody API network restrictions, credential rotation, database audit logging, and independent security assessment coverage. Full details are in this subpage."
"article","2026 Security Hardening Program","2026-security-hardening-program","Security Investments","/security-center/security-investments/2026-security-hardening-program","Recent and planned investments in endpoint security, access hardening, assessments, audit logging, and control automation.","Classification: External / Client-Facing | Contact: security@toku.com","## Overview

In 2026, Toku ran a security hardening program across its infrastructure, endpoints, network, and application layers. This included new endpoint protection deployments, network access controls, infrastructure monitoring, credential management improvements, and independent third-party security assessments.

## Third-Party Security Assessments

Toku engaged two independent firms to evaluate and improve its security posture:

- Infrastructure and operational security assessment covering infrastructure, access controls, and operational security.

- Application and digital asset security assessment covering platform controls and custody-related integration components.

Findings from both assessments drove the hardening actions below.

## Endpoint Security Hardening

- Endpoint detection and response deployed on all employee endpoints for threat detection and managed threat hunting. Installation is mandatory and compliance is enforced.

- Enhanced endpoint monitoring deployed on devices with access to critical infrastructure, adding visibility into endpoint activity and investigation readiness.

- Endpoint evidence collection procedures established for employee devices with access to critical systems.

## Network and Infrastructure Hardening

- Zero-trust VPN deployed as the required access path for all production infrastructure. No production system is reachable without authenticated network access.

- Web application firewall deployed on all application-layer traffic for DDoS mitigation, bot detection, rate limiting, and request filtering.

- Custody API network restrictions implemented where supported, limiting API access to known Toku infrastructure IPs.

- Network segmentation reinforced with full isolation between production, staging, and development.

## Credential and Access Management

- Complete credential rotation across all integration services, including API keys, tokens, and secrets for every client integration.

- Client-side credential refresh coordinated for client-managed systems where credential rotation was required.

- Employee password rotation completed organization-wide with MFA reset and re-enrollment.

- MFA enforced for all employees using TOTP-based verification through 1Password.

- Scheduled credential rotation established as a standing operational practice.

## Application and Database Improvements

- Database rebuild completed with enhanced security controls and hardened configurations.

- Enhanced database logging implemented for comprehensive audit trails on all data access and modifications.

- API endpoint hardening to eliminate token exposure in specific endpoints and enforce stricter credential handling throughout the application layer.

- Continuous dependency scanning with triage and remediation SLAs based on severity.

## Monitoring and Detection

- Infrastructure monitoring deployed for systematic production health monitoring, performance tracking, and alerting.

- Enhanced security event logging across all systems, covering authentication, authorization, data access, and administrative actions.

- Automated alerting configured for integration API failures, anomalous access patterns, and security events, with on-call rotation ensuring 24/7 coverage.

## Ongoing Security Program

Beyond the 2026 hardening program, Toku runs these ongoing security practices:

- Quarterly tabletop exercises covering breach, DDoS, ransomware, and insider threat scenarios

- Quarterly penetration testing by third-party firms with reports available on request

- Quarterly access reviews for critical systems and privileged accounts

- SOC 2 Type II compliance with continuous evidence collection

- Continuous vulnerability scanning with triage and remediation timelines by severity

## Current Security Posture

The table below summarizes Toku's current security posture following the completion of the 2026 hardening program.

| Layer | Implementation |
| --- | --- |
| Endpoint Protection | Endpoint detection, response, and monitoring on employee devices |
| Network Access | Zero-trust VPN mandatory for production access |
| WAF and DDoS | Web application firewall on application traffic |
| Custody API Security | IP whitelisting + scoped credentials + scheduled rotation |
| Employee Authentication | MFA enforced for all employees, TOTP via 1Password |
| Database Security | AES-256 encryption at rest + enhanced audit logging |
| Monitoring | Infrastructure monitoring, application error monitoring, enhanced database logs, and automated alerting |
| Forensic Readiness | Continuous endpoint monitoring and evidence collection readiness |
| Credential Management | Scheduled rotation + immediate rotation on any suspected compromise |
| Third-Party Audits | Independent infrastructure, application, and digital asset security assessments |

## Questions

For any questions about Toku's security hardening program or current security posture, contact security@toku.com."
"related_resource","Data Protection & Encryption","data-protection-and-encryption","","/security-center/data-security/data-protection-and-encryption","How Toku protects sensitive payroll, employee, and digital asset data in transit and at rest.","Review data safeguards","How Toku protects sensitive payroll, employee, and digital asset data in transit and at rest."
"related_resource","API & Integration Security","api-and-integration-security","","/security-center/data-security/api-and-integration-security","How Toku secures authenticated data exchange, integration access, and integration monitoring.","Review integration controls","How Toku secures authenticated data exchange, integration access, and integration monitoring."
"related_resource","Compliance & Certifications","compliance-and-certifications","","/security-center/resilience-compliance/compliance-and-certifications","How Toku approaches compliance evidence, client security reviews, and privacy obligations.","Review compliance posture","How Toku approaches compliance evidence, client security reviews, and privacy obligations."
